--- Running Processes ---
PID: 0 | Name: [System Process]
PID: 4 | Name: System
PID: 236 | Name: Secure System
PID: 280 | Name: Registry
PID: 860 | Name: smss.exe
PID: 1216 | Name: csrss.exe
PID: 1320 | Name: wininit.exe
PID: 1396 | Name: services.exe
PID: 1416 | Name: LsaIso.exe
PID: 1424 | Name: lsass.exe
PID: 1640 | Name: svchost.exe
PID: 1672 | Name: WUDFHost.exe
PID: 1684 | Name: fontdrvhost.exe
PID: 1812 | Name: svchost.exe
PID: 1864 | Name: svchost.exe
PID: 2008 | Name: svchost.exe
PID: 2044 | Name: svchost.exe
PID: 1220 | Name: svchost.exe
PID: 1332 | Name: svchost.exe
PID: 2152 | Name: svchost.exe
PID: 2160 | Name: svchost.exe
PID: 2280 | Name: IntelCpHDCPSvc.exe
PID: 2288 | Name: svchost.exe
PID: 2388 | Name: svchost.exe
PID: 2516 | Name: svchost.exe
PID: 2544 | Name: svchost.exe
PID: 2584 | Name: svchost.exe
PID: 2676 | Name: svchost.exe
PID: 2868 | Name: svchost.exe
PID: 2876 | Name: svchost.exe
PID: 2924 | Name: OmenCap.exe
PID: 2952 | Name: svchost.exe
PID: 2432 | Name: SynTPEnhService.exe
PID: 2920 | Name: svchost.exe
PID: 3120 | Name: svchost.exe
PID: 3156 | Name: svchost.exe
PID: 3172 | Name: NVDisplay.Container.exe
PID: 3292 | Name: svchost.exe
PID: 3308 | Name: svchost.exe
PID: 3360 | Name: svchost.exe
PID: 3368 | Name: svchost.exe
PID: 3376 | Name: svchost.exe
PID: 3500 | Name: Memory Compression
PID: 3560 | Name: svchost.exe
PID: 3612 | Name: igfxCUIServiceN.exe
PID: 3688 | Name: svchost.exe
PID: 3700 | Name: svchost.exe
PID: 3720 | Name: TouchpointAnalyticsClientService.exe
PID: 3736 | Name: AppHelperCap.exe
PID: 3744 | Name: SysInfoCap.exe
PID: 3760 | Name: NetworkCap.exe
PID: 3768 | Name: DiagsCap.exe
PID: 3960 | Name: svchost.exe
PID: 4036 | Name: svchost.exe
PID: 4044 | Name: WUDFHost.exe
PID: 4364 | Name: svchost.exe
PID: 4396 | Name: svchost.exe
PID: 4748 | Name: WmiPrvSE.exe
PID: 4844 | Name: svchost.exe
PID: 4964 | Name: unsecapp.exe
PID: 4180 | Name: svchost.exe
PID: 5180 | Name: svchost.exe
PID: 5188 | Name: svchost.exe
PID: 5340 | Name: svchost.exe
PID: 5360 | Name: svchost.exe
PID: 5420 | Name: svchost.exe
PID: 5480 | Name: svchost.exe
PID: 5540 | Name: spoolsv.exe
PID: 5628 | Name: svchost.exe
PID: 5688 | Name: svchost.exe
PID: 5832 | Name: svchost.exe
PID: 5840 | Name: nssm.exe
PID: 5856 | Name: svchost.exe
PID: 5864 | Name: HPPrintScanDoctorService.exe
PID: 5872 | Name: svchost.exe
PID: 5880 | Name: svchost.exe
PID: 5892 | Name: OneApp.IGCC.WinService.exe
PID: 5900 | Name: svchost.exe
PID: 5908 | Name: svchost.exe
PID: 5916 | Name: svchost.exe
PID: 5924 | Name: IntelAudioService.exe
PID: 5932 | Name: SECOMN64.exe
PID: 5956 | Name: XtuService.exe
PID: 6004 | Name: MpDefenderCoreService.exe
PID: 6012 | Name: HPCommRecovery.exe
PID: 6036 | Name: MsMpEng.exe
PID: 6076 | Name: warp-svc.exe
PID: 6092 | Name: nvcontainer.exe
PID: 6104 | Name: UltraViewer_Service.exe
PID: 6128 | Name: WMIRegistrationService.exe
PID: 6140 | Name: RtkAudUService64.exe
PID: 5664 | Name: wslservice.exe
PID: 6168 | Name: RstMwService.exe
PID: 6220 | Name: jhi_service.exe
PID: 6560 | Name: expressvpnd.exe
PID: 6868 | Name: svchost.exe
PID: 6908 | Name: conhost.exe
PID: 8932 | Name: svchost.exe
PID: 9176 | Name: wlanext.exe
PID: 8792 | Name: AggregatorHost.exe
PID: 3880 | Name: svchost.exe
PID: 8784 | Name: NgcIso.exe
PID: 9332 | Name: NisSrv.exe
PID: 9840 | Name: svchost.exe
PID: 8028 | Name: svchost.exe
PID: 9940 | Name: BraveCrashHandler.exe
PID: 9964 | Name: BraveCrashHandler64.exe
PID: 1492 | Name: svchost.exe
PID: 4736 | Name: svchost.exe
PID: 9500 | Name: svchost.exe
PID: 3436 | Name: svchost.exe
PID: 2384 | Name: svchost.exe
PID: 4376 | Name: svchost.exe
PID: 5380 | Name: svchost.exe
PID: 9516 | Name: svchost.exe
PID: 8532 | Name: PresentationFontCache.exe
PID: 9912 | Name: svchost.exe
PID: 7648 | Name: svchost.exe
PID: 12272 | Name: svchost.exe
PID: 13092 | Name: svchost.exe
PID: 14340 | Name: svchost.exe
PID: 14508 | Name: SecurityHealthService.exe
PID: 16456 | Name: svchost.exe
PID: 17464 | Name: svchost.exe
PID: 5224 | Name: svchost.exe
PID: 11792 | Name: svchost.exe
PID: 14968 | Name: svchost.exe
PID: 16360 | Name: dasHost.exe
PID: 9096 | Name: dasHost.exe
PID: 13336 | Name: svchost.exe
PID: 904 | Name: svchost.exe
PID: 17320 | Name: servicehost.exe
PID: 1652 | Name: svchost.exe
PID: 18044 | Name: audiodg.exe
PID: 21252 | Name: csrss.exe
PID: 18472 | Name: winlogon.exe
PID: 22672 | Name: fontdrvhost.exe
