--- Running Processes ---
PID: 0 | Name: [System Process]
PID: 4 | Name: System
PID: 236 | Name: Secure System
PID: 280 | Name: Registry
PID: 852 | Name: smss.exe
PID: 1216 | Name: csrss.exe
PID: 1320 | Name: wininit.exe
PID: 1400 | Name: services.exe
PID: 1452 | Name: LsaIso.exe
PID: 1472 | Name: lsass.exe
PID: 1644 | Name: svchost.exe
PID: 1672 | Name: WUDFHost.exe
PID: 1680 | Name: fontdrvhost.exe
PID: 1824 | Name: svchost.exe
PID: 1864 | Name: svchost.exe
PID: 2032 | Name: svchost.exe
PID: 1188 | Name: svchost.exe
PID: 836 | Name: svchost.exe
PID: 1568 | Name: svchost.exe
PID: 2176 | Name: svchost.exe
PID: 2184 | Name: svchost.exe
PID: 2240 | Name: svchost.exe
PID: 2272 | Name: IntelCpHDCPSvc.exe
PID: 2292 | Name: svchost.exe
PID: 2436 | Name: svchost.exe
PID: 2448 | Name: svchost.exe
PID: 2584 | Name: svchost.exe
PID: 2660 | Name: svchost.exe
PID: 2684 | Name: svchost.exe
PID: 3008 | Name: svchost.exe
PID: 3016 | Name: svchost.exe
PID: 3064 | Name: svchost.exe
PID: 2132 | Name: OmenCap.exe
PID: 2456 | Name: WUDFHost.exe
PID: 3184 | Name: SynTPEnhService.exe
PID: 3328 | Name: svchost.exe
PID: 3416 | Name: NVDisplay.Container.exe
PID: 3448 | Name: svchost.exe
PID: 3476 | Name: svchost.exe
PID: 3568 | Name: svchost.exe
PID: 3604 | Name: svchost.exe
PID: 3612 | Name: svchost.exe
PID: 3620 | Name: svchost.exe
PID: 3708 | Name: Memory Compression
PID: 3760 | Name: svchost.exe
PID: 3796 | Name: igfxCUIServiceN.exe
PID: 3848 | Name: svchost.exe
PID: 3860 | Name: svchost.exe
PID: 3868 | Name: TouchpointAnalyticsClientService.exe
PID: 3884 | Name: DiagsCap.exe
PID: 3888 | Name: AppHelperCap.exe
PID: 3904 | Name: NetworkCap.exe
PID: 3912 | Name: SysInfoCap.exe
PID: 4044 | Name: svchost.exe
PID: 4104 | Name: svchost.exe
PID: 4260 | Name: svchost.exe
PID: 4352 | Name: svchost.exe
PID: 4564 | Name: svchost.exe
PID: 4712 | Name: svchost.exe
PID: 5088 | Name: svchost.exe
PID: 5096 | Name: svchost.exe
PID: 5204 | Name: svchost.exe
PID: 5248 | Name: WmiPrvSE.exe
PID: 5296 | Name: svchost.exe
PID: 5480 | Name: unsecapp.exe
PID: 5524 | Name: spoolsv.exe
PID: 5652 | Name: svchost.exe
PID: 5812 | Name: svchost.exe
PID: 6020 | Name: svchost.exe
PID: 6028 | Name: svchost.exe
PID: 6036 | Name: HPPrintScanDoctorService.exe
PID: 6044 | Name: HPCommRecovery.exe
PID: 6060 | Name: svchost.exe
PID: 6068 | Name: svchost.exe
PID: 6088 | Name: OneApp.IGCC.WinService.exe
PID: 6084 | Name: nssm.exe
PID: 6100 | Name: svchost.exe
PID: 6108 | Name: IntelAudioService.exe
PID: 6116 | Name: svchost.exe
PID: 6124 | Name: SECOMN64.exe
PID: 6136 | Name: warp-svc.exe
PID: 5848 | Name: XtuService.exe
PID: 6156 | Name: servicehost.exe
PID: 6164 | Name: UltraViewer_Service.exe
PID: 6176 | Name: OfficeClickToRun.exe
PID: 6196 | Name: nvcontainer.exe
PID: 6204 | Name: MsMpEng.exe
PID: 6236 | Name: WMIRegistrationService.exe
PID: 6244 | Name: MpDefenderCoreService.exe
PID: 6260 | Name: RtkAudUService64.exe
PID: 6268 | Name: RstMwService.exe
PID: 6280 | Name: wslservice.exe
PID: 6332 | Name: jhi_service.exe
PID: 6776 | Name: expressvpnd.exe
PID: 7048 | Name: svchost.exe
PID: 7076 | Name: conhost.exe
PID: 7708 | Name: svchost.exe
PID: 7588 | Name: svchost.exe
PID: 10088 | Name: svchost.exe
PID: 9472 | Name: PresentationFontCache.exe
PID: 10332 | Name: svchost.exe
PID: 10352 | Name: svchost.exe
PID: 10996 | Name: AggregatorHost.exe
PID: 11124 | Name: svchost.exe
PID: 5912 | Name: svchost.exe
PID: 11644 | Name: svchost.exe
PID: 11736 | Name: NgcIso.exe
PID: 11856 | Name: svchost.exe
PID: 12400 | Name: svchost.exe
PID: 14108 | Name: SearchIndexer.exe
PID: 13532 | Name: svchost.exe
PID: 16424 | Name: NisSrv.exe
PID: 17116 | Name: BraveCrashHandler.exe
PID: 17144 | Name: BraveCrashHandler64.exe
PID: 18596 | Name: svchost.exe
PID: 13988 | Name: svchost.exe
PID: 17124 | Name: SecurityHealthService.exe
PID: 12184 | Name: svchost.exe
PID: 1708 | Name: dasHost.exe
PID: 17164 | Name: dasHost.exe
PID: 17096 | Name: svchost.exe
PID: 2388 | Name: svchost.exe
PID: 20228 | Name: svchost.exe
PID: 21516 | Name: svchost.exe
PID: 18784 | Name: svchost.exe
PID: 11024 | Name: svchost.exe
PID: 19192 | Name: svchost.exe
PID: 20516 | Name: svchost.exe
PID: 21380 | Name: svchost.exe
PID: 26516 | Name: svchost.exe
PID: 29148 | Name: svchost.exe
PID: 13580 | Name: Microsoft.SharePoint.exe
PID: 5840 | Name: svchost.exe
PID: 11512 | Name: svchost.exe
PID: 17700 | Name: svchost.exe
PID: 27884 | Name: csrss.exe
